"","No.","Time","Source","Destination","Protocol","Length","Info","hostname","last_registration_req_at","platform","health","last_config_fetch_at","total_flows","cpu_load","current_sw_version","vrf_id","created_at","enable_pid_lookup"
"11789",5577,115.822604,"184.85.226.161","172.16.255.1","TLSv1",199,"Server Hello, Change Cipher Spec, Encrypted Handshake Message","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11790",5578,115.823211,"184.85.226.161","172.16.255.1","TLSv1",1451,"Application Data","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11791",5579,115.823472,"184.85.226.161","172.16.255.1","TLSv1",199,"Server Hello, Change Cipher Spec, Encrypted Handshake Message","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11792",5584,115.829257,"184.85.226.161","172.16.255.1","TLSv1",603,"Application Data","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11793",5593,115.844444,"184.85.226.161","172.16.255.1","TCP",60,"443  >  10649 [ACK] Seq=146 Ack=1248 Win=8992 Len=0","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11794",5597,115.846299,"184.85.226.161","172.16.255.1","TLSv1",1259,"Application Data","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11795",5606,115.860205,"184.85.226.161","172.16.255.1","TCP",1514,"443  >  10647 [ACK] Seq=44395 Ack=4319 Win=15168 Len=1460 [TCP segment of a reassembled PDU]","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11796",5607,115.860901,"184.85.226.161","172.16.255.1","TLSv1",615,"Application Data","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11797",5610,115.864624,"184.85.226.161","172.16.255.1","TCP",60,"443  >  10650 [ACK] Seq=146 Ack=1264 Win=9024 Len=0","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11798",5611,115.865534,"184.85.226.161","172.16.255.1","TCP",60,"443  >  10652 [ACK] Seq=146 Ack=1248 Win=8992 Len=0","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11799",5612,115.866186,"184.85.226.161","172.16.255.1","TCP",1514,"443  >  10650 [ACK] Seq=146 Ack=1264 Win=9024 Len=1460 [TCP segment of a reassembled PDU]","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11800",5613,115.866978,"184.85.226.161","172.16.255.1","TCP",1514,"443  >  10650 [ACK] Seq=1606 Ack=1264 Win=9024 Len=1460 [TCP segment of a reassembled PDU]","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11801",5615,115.867272,"184.85.226.161","172.16.255.1","TCP",1514,"443  >  10650 [ACK] Seq=3066 Ack=1264 Win=9024 Len=1460 [TCP segment of a reassembled PDU]","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11802",5616,115.867536,"184.85.226.161","172.16.255.1","TCP",1514,"443  >  10650 [ACK] Seq=4526 Ack=1264 Win=9024 Len=1460 [TCP segment of a reassembled PDU]","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11803",5617,115.867539,"184.85.226.161","172.16.255.1","TLSv1",763,"Application Data","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11804",5619,115.867807,"184.85.226.161","172.16.255.1","TCP",1514,"443  >  10652 [ACK] Seq=146 Ack=1248 Win=8992 Len=1460 [TCP segment of a reassembled PDU]","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11805",5620,115.868426,"184.85.226.161","172.16.255.1","TLSv1",119,"Application Data","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11806",5621,115.868428,"184.85.226.161","172.16.255.1","TCP",60,"443  >  10651 [ACK] Seq=146 Ack=1248 Win=8992 Len=0","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11807",5624,115.869732,"184.85.226.161","172.16.255.1","TCP",1514,"443  >  10651 [ACK] Seq=146 Ack=1248 Win=8992 Len=1460 [TCP segment of a reassembled PDU]","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11808",5625,115.870034,"184.85.226.161","172.16.255.1","TCP",1514,"443  >  10651 [ACK] Seq=1606 Ack=1248 Win=8992 Len=1460 [TCP segment of a reassembled PDU]","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11809",5627,115.870307,"184.85.226.161","172.16.255.1","TLSv1",323,"Application Data","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11810",5628,115.871743,"184.85.226.161","172.16.255.1","TLSv1",907,"Application Data","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11811",5630,115.883952,"184.85.226.161","172.16.255.1","TCP",1514,"443  >  10649 [ACK] Seq=1351 Ack=2293 Win=11072 Len=1460 [TCP segment of a reassembled PDU]","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11812",5631,115.884248,"184.85.226.161","172.16.255.1","TCP",1514,"443  >  10649 [ACK] Seq=2811 Ack=2293 Win=11072 Len=1460 [TCP segment of a reassembled PDU]","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
"11813",5632,115.884251,"184.85.226.161","172.16.255.1","TLSv1",99,"Application Data","RCDNPN3543",1479321422,"RedHatEnterpriseServer-6 .8","active",1479749271,7747,0.094041312,"1.103.1.6-1",1,1479321422,FALSE
